timestamp,host_id,user_id,user_role,process_name,parent_process,command_text,script_type,command_length,num_arguments,execution_result,is_anomaly,anomaly_score,predicted_anomaly
01/12/2025 04:45,host_02,user_04,Standard,cmd.exe,wscript.exe,Set-Process /usr/bin.ps1 Start-Service /tmp.txt Remove-Proces,cmd,61,3,success,suspicious,0.015387507290420384,1
01/12/2025 08:08,host_03,user_10,Standard,powershell.exe,wscript.exe,Remove-Registry /usr/bin,powershell,24,1,success,benign,-0.10786845063336886,0
01/12/2025 09:12,host_03,user_10,Standard,notepad.exe,explorer.exe,Get-Registry C:\Use,notepad,19,1,success,benign,-0.15538250946245685,0
01/12/2025 09:38,host_02,user_01,Admin,notepad.exe,explorer.exe,New-Job C:\Users\Public.txt Stop-Registry C:\Windo,notepad,50,2,failure,benign,-0.08635562992801318,0
01/12/2025 09:43,host_02,user_05,Standard,powershell.exe,explorer.exe,Start-Registry /usr/bin.py Get-File C,powershell,37,2,success,benign,-0.17469307596081302,0
01/12/2025 09:44,host_01,user_08,Standard,notepad.exe,explorer.exe,New-Registry C:\Windows\Temp.ps1 Start-J,notepad,40,2,success,benign,-0.16763293384097994,0
01/12/2025 09:55,host_01,user_02,Standard,notepad.exe,explorer.exe,New-Service /usr/bin.py New-Registr,notepad,35,2,success,benign,-0.20121521558023958,0
01/12/2025 10:01,host_02,user_03,Standard,notepad.exe,explorer.exe,New-Process C:\Windows\Temp.lo,notepad,30,1,success,benign,-0.07110068355233781,0
01/12/2025 10:06,host_03,user_01,Standard,python.exe,svchost.exe,New-Process C,python,13,1,success,benign,-0.08775138078358169,0
01/12/2025 10:25,host_03,user_04,Standard,cmd.exe,explorer.exe,Set-Registry /usr/bin.py New-File C:\Wind,cmd,41,2,success,benign,-0.1790694614012694,0
01/12/2025 11:04,host_01,user_04,Admin,python.exe,explorer.exe,New-Registry C:\Users\,python,22,1,success,benign,-0.09662754485635464,0
01/12/2025 11:08,host_02,user_01,Standard,notepad.exe,explorer.exe,Remove-Registry C:\Users\Publi,notepad,30,1,success,benign,-0.06899139534913906,0
01/12/2025 11:10,host_01,user_09,Standard,cmd.exe,wscript.exe,Stop-Job /tmp.ps1 Stop-Service /usr/bin.txt Start,cmd,49,3,success,benign,-0.0126320322443744,0
01/12/2025 11:16,host_03,user_08,Admin,cmd.exe,cscript.exe,Remove-Registry C:\Windows,cmd,26,1,success,benign,-0.10339909577792203,0
01/12/2025 11:32,host_03,user_08,Standard,cmd.exe,explorer.exe,New-Job C:\User,cmd,15,1,success,benign,-0.059630967335236026,0
01/12/2025 11:42,host_02,user_06,Standard,python.exe,svchost.exe,Get-Process /usr/bin.txt Get-Pr,python,31,2,success,benign,-0.14023358877042688,0
01/12/2025 11:44,host_03,user_02,Standard,rundll32.exe,cmd.exe,Remove-Process /tmp.py Start-File C:\Windows\Te,rundll32,47,2,success,benign,-0.06541790041020816,0
01/12/2025 12:05,host_02,user_05,Standard,notepad.exe,explorer.exe,Stop-Job /tmp.,notepad,14,1,success,benign,-0.052961220937896236,0
01/12/2025 12:07,host_01,user_02,Standard,notepad.exe,explorer.exe,Start-Job C:\Us,notepad,15,1,success,benign,-0.06631529924435799,0
01/12/2025 12:24,host_02,user_04,Standard,cmd.exe,cscript.exe,Remove-Regi,cmd,11,1,success,benign,-0.014083656877265562,0
01/12/2025 12:54,host_02,user_01,Standard,notepad.exe,explorer.exe,Start-Registry C:\Wi,notepad,20,1,success,benign,-0.060457086378726446,0
01/12/2025 13:25,host_02,user_10,Standard,notepad.exe,explorer.exe,Get-Process C:,notepad,14,1,success,benign,-0.060842969030159656,0
01/12/2025 13:37,host_02,user_08,Standard,powershell.exe,explorer.exe,New-Registry /usr/bin.log Remove,powershell,32,2,success,benign,-0.14238040704665375,0
01/12/2025 13:42,host_03,user_04,Standard,powershell.exe,svchost.exe,Set-Registry /tmp.txt Remove-Registry C:\Wind,powershell,45,2,success,benign,-0.08316357923964579,0
01/12/2025 13:45,host_01,user_01,Standard,notepad.exe,explorer.exe,Get-File C:,notepad,11,1,success,benign,-0.01630544400489299,0
01/12/2025 14:00,host_03,user_08,Standard,rundll32.exe,rundll32.exe,Set-Registry /tmp.py Start-Registry /us,rundll32,39,2,success,benign,-0.1907922260143297,0
01/12/2025 14:39,host_03,user_01,Standard,notepad.exe,explorer.exe,Start-Job /usr/bin.ps1 Remove-Pro,notepad,33,2,success,benign,-0.17403136200209696,0
01/12/2025 15:47,host_03,user_02,Standard,notepad.exe,explorer.exe,Remove-Service /usr/bin.py Start-Job,notepad,36,2,success,benign,-0.2167552528800717,0
01/12/2025 15:52,host_03,user_01,Standard,regsvr32.exe,explorer.exe,Set-Registry C:\Users\Public.txt Start-Registry /u,regsvr32,50,2,success,benign,-0.1373217450476313,0
01/12/2025 16:38,host_02,user_06,Standard,cmd.exe,explorer.exe,Set-Service,cmd,11,1,success,benign,-0.11072541134351051,0
01/12/2025 16:46,host_03,user_07,Standard,powershell.exe,svchost.exe,Stop-Process C,powershell,14,1,success,benign,-0.13928172842255018,0
01/12/2025 16:50,host_01,user_09,Standard,notepad.exe,explorer.exe,Get-Job /tmp.py Stop-Registr,notepad,28,2,success,benign,-0.2274572990378225,0
