timestamp,host_id,user_id,user_role,process_name,parent_process,command_text,script_type,command_length,num_arguments,execution_result,is_anomaly
01/12/2025 04:45,host_02,user_04,Standard,cmd.exe,wscript.exe,Set-Process /usr/bin.ps1 Start-Service /tmp.txt Remove-Proces,cmd,61,3,success,suspicious
01/12/2025 08:08,host_03,user_10,Standard,powershell.exe,wscript.exe,Remove-Registry /usr/bin,powershell,24,1,success,benign
01/12/2025 09:12,host_03,user_10,Standard,notepad.exe,explorer.exe,Get-Registry C:\Use,notepad,19,1,success,benign
01/12/2025 09:38,host_02,user_01,Admin,notepad.exe,explorer.exe,New-Job C:\Users\Public.txt Stop-Registry C:\Windo,notepad,50,2,failure,benign
01/12/2025 09:43,host_02,user_05,Standard,powershell.exe,explorer.exe,Start-Registry /usr/bin.py Get-File C,powershell,37,2,success,benign
01/12/2025 09:44,host_01,user_08,Standard,notepad.exe,explorer.exe,New-Registry C:\Windows\Temp.ps1 Start-J,notepad,40,2,success,benign
01/12/2025 09:55,host_01,user_02,Standard,notepad.exe,explorer.exe,New-Service /usr/bin.py New-Registr,notepad,35,2,success,benign
01/12/2025 10:01,host_02,user_03,Standard,notepad.exe,explorer.exe,New-Process C:\Windows\Temp.lo,notepad,30,1,success,benign
01/12/2025 10:06,host_03,user_01,Standard,python.exe,svchost.exe,New-Process C,python,13,1,success,benign
01/12/2025 10:25,host_03,user_04,Standard,cmd.exe,explorer.exe,Set-Registry /usr/bin.py New-File C:\Wind,cmd,41,2,success,benign
01/12/2025 11:04,host_01,user_04,Admin,python.exe,explorer.exe,New-Registry C:\Users\,python,22,1,success,benign
01/12/2025 11:08,host_02,user_01,Standard,notepad.exe,explorer.exe,Remove-Registry C:\Users\Publi,notepad,30,1,success,benign
01/12/2025 11:10,host_01,user_09,Standard,cmd.exe,wscript.exe,Stop-Job /tmp.ps1 Stop-Service /usr/bin.txt Start,cmd,49,3,success,benign
01/12/2025 11:16,host_03,user_08,Admin,cmd.exe,cscript.exe,Remove-Registry C:\Windows,cmd,26,1,success,benign
01/12/2025 11:32,host_03,user_08,Standard,cmd.exe,explorer.exe,New-Job C:\User,cmd,15,1,success,benign
01/12/2025 11:42,host_02,user_06,Standard,python.exe,svchost.exe,Get-Process /usr/bin.txt Get-Pr,python,31,2,success,benign
01/12/2025 11:44,host_03,user_02,Standard,rundll32.exe,cmd.exe,Remove-Process /tmp.py Start-File C:\Windows\Te,rundll32,47,2,success,benign
01/12/2025 12:05,host_02,user_05,Standard,notepad.exe,explorer.exe,Stop-Job /tmp.,notepad,14,1,success,benign
01/12/2025 12:07,host_01,user_02,Standard,notepad.exe,explorer.exe,Start-Job C:\Us,notepad,15,1,success,benign
01/12/2025 12:24,host_02,user_04,Standard,cmd.exe,cscript.exe,Remove-Regi,cmd,11,1,success,benign
01/12/2025 12:54,host_02,user_01,Standard,notepad.exe,explorer.exe,Start-Registry C:\Wi,notepad,20,1,success,benign
01/12/2025 13:25,host_02,user_10,Standard,notepad.exe,explorer.exe,Get-Process C:,notepad,14,1,success,benign
01/12/2025 13:37,host_02,user_08,Standard,powershell.exe,explorer.exe,New-Registry /usr/bin.log Remove,powershell,32,2,success,benign
01/12/2025 13:42,host_03,user_04,Standard,powershell.exe,svchost.exe,Set-Registry /tmp.txt Remove-Registry C:\Wind,powershell,45,2,success,benign
01/12/2025 13:45,host_01,user_01,Standard,notepad.exe,explorer.exe,Get-File C:,notepad,11,1,success,benign
01/12/2025 14:00,host_03,user_08,Standard,rundll32.exe,rundll32.exe,Set-Registry /tmp.py Start-Registry /us,rundll32,39,2,success,benign
01/12/2025 14:39,host_03,user_01,Standard,notepad.exe,explorer.exe,Start-Job /usr/bin.ps1 Remove-Pro,notepad,33,2,success,benign
01/12/2025 15:47,host_03,user_02,Standard,notepad.exe,explorer.exe,Remove-Service /usr/bin.py Start-Job,notepad,36,2,success,benign
01/12/2025 15:52,host_03,user_01,Standard,regsvr32.exe,explorer.exe,Set-Registry C:\Users\Public.txt Start-Registry /u,regsvr32,50,2,success,benign
01/12/2025 16:38,host_02,user_06,Standard,cmd.exe,explorer.exe,Set-Service,cmd,11,1,success,benign
01/12/2025 16:46,host_03,user_07,Standard,powershell.exe,svchost.exe,Stop-Process C,powershell,14,1,success,benign
01/12/2025 16:50,host_01,user_09,Standard,notepad.exe,explorer.exe,Get-Job /tmp.py Stop-Registr,notepad,28,2,success,benign
01/12/2025 17:05,host_02,user_02,Standard,powershell.exe,cmd.exe,Start-Registry C:\Use,powershell,21,1,success,benign
01/12/2025 17:41,host_03,user_10,Standard,notepad.exe,explorer.exe,Set-Registr,notepad,11,1,success,benign
01/12/2025 17:43,host_01,user_02,Standard,notepad.exe,explorer.exe,Remove-Registry /tmp.ps1 Set,notepad,28,2,success,benign
01/12/2025 17:49,host_01,user_06,Standard,notepad.exe,explorer.exe,New-Service /usr/bin.lo,notepad,23,1,success,benign
01/12/2025 17:56,host_03,user_06,Standard,powershell.exe,explorer.exe,Stop-Job /tmp.log Set-File,powershell,26,2,success,benign
01/12/2025 17:59,host_03,user_08,Standard,cmd.exe,services.exe,Stop-Job /usr/bin.py Stop-Proce,cmd,31,2,success,benign
01/12/2025 18:38,host_02,user_03,Standard,notepad.exe,explorer.exe,Get-File /usr/bin.ps1 Remove-Regi,notepad,33,2,success,benign
02/12/2025 04:07,host_01,user_03,Standard,rundll32.exe,explorer.exe,Get-Registry C:\Windows\Temp.log Set-File /tmp.log Start-Job /tmp.txt New-Se,rundll32,76,4,success,suspicious
02/12/2025 08:14,host_03,user_05,Standard,notepad.exe,explorer.exe,Get-Service /usr/bi,notepad,19,1,success,benign
02/12/2025 08:14,host_01,user_10,Standard,notepad.exe,explorer.exe,Stop-Service C:\Windows\Temp.py Ge,notepad,34,2,failure,benign
02/12/2025 08:19,host_02,user_07,Admin,cmd.exe,explorer.exe,Stop-Process C:\Users,cmd,21,1,success,benign
02/12/2025 08:21,host_01,user_04,Standard,notepad.exe,explorer.exe,Remove-Service,notepad,14,1,success,benign
02/12/2025 08:23,host_01,user_01,Admin,powershell.exe,wscript.exe,Start-Registry C:\Windows\Temp.txt Start-,powershell,41,2,success,benign
02/12/2025 08:34,host_02,user_01,Standard,notepad.exe,explorer.exe,Stop-Process C:\Users\,notepad,22,1,success,benign
02/12/2025 09:01,host_03,user_07,Standard,powershell.exe,rundll32.exe,New-Service /usr/bin.txt Start-Job C:,powershell,37,2,success,benign
02/12/2025 09:08,host_02,user_05,Admin,cmd.exe,cscript.exe,New-Process /usr/bin.ps1 Set-Job /usr/bin.txt Sto,cmd,49,3,success,benign
02/12/2025 09:17,host_01,user_05,Standard,powershell.exe,mshta.exe,Stop-Job /usr/bin,powershell,17,1,success,benign
02/12/2025 09:28,host_02,user_01,Standard,notepad.exe,explorer.exe,Stop-Process C:\Users\,notepad,22,1,success,benign
02/12/2025 09:39,host_02,user_10,Standard,notepad.exe,explorer.exe,Stop-Job /u,notepad,11,1,success,benign
02/12/2025 11:36,host_03,user_09,Standard,notepad.exe,explorer.exe,Remove-Process C:\Users\Public.py New-Job /us,notepad,45,2,success,benign
02/12/2025 11:45,host_02,user_01,Standard,notepad.exe,explorer.exe,Stop-File /usr/bin.log Get-Process /usr/b,notepad,41,2,success,benign
02/12/2025 12:12,host_01,user_01,Admin,notepad.exe,python.exe,Remove-Service /usr/b,notepad,21,1,success,benign
02/12/2025 12:14,host_03,user_06,Admin,python.exe,powershell.exe,New-File /usr/bin.log New-Service C:\Wind,python,41,2,success,benign
02/12/2025 12:50,host_03,user_10,Standard,notepad.exe,explorer.exe,Get-Process /tmp.log,notepad,20,1,success,benign
02/12/2025 12:55,host_03,user_02,Standard,powershell.exe,rundll32.exe,Stop-Process C:,powershell,15,1,success,benign
02/12/2025 13:09,host_03,user_09,Standard,python.exe,services.exe,New-Job /tmp.log Stop-Job C:\Windows\Te,python,39,2,success,benign
02/12/2025 13:22,host_03,user_07,Standard,notepad.exe,explorer.exe,Get-Job C:,notepad,10,1,success,benign
02/12/2025 13:52,host_03,user_10,Standard,wscript.exe,cmd.exe,Start-Job /usr/bin,wscript,18,1,success,benign
02/12/2025 14:07,host_01,user_03,Standard,python.exe,cscript.exe,Start-Service /tmp.ps1 Remove,python,29,2,success,benign
02/12/2025 14:08,host_01,user_01,Standard,rundll32.exe,explorer.exe,Start-Service C:\Users\Public.log Rem,rundll32,37,2,success,benign
02/12/2025 14:14,host_03,user_05,Standard,powershell.exe,taskeng.exe,New-File /,powershell,10,1,success,benign
02/12/2025 14:22,host_01,user_06,Standard,rundll32.exe,wscript.exe,Stop-File C:\Windows\Temp.txt Set-Job /tmp.ps,rundll32,45,2,failure,benign
02/12/2025 14:43,host_03,user_06,Standard,wscript.exe,cmd.exe,Stop-File /usr/bin.py Get-File C:\Users\Publ,wscript,44,2,success,benign
02/12/2025 14:58,host_02,user_04,Standard,powershell.exe,cmd.exe,Remove-Registry C:\Windows\Temp.ps1 Stop,powershell,40,2,success,benign
02/12/2025 15:00,host_02,user_06,Standard,notepad.exe,explorer.exe,New-Job C:\Windows\Temp.ps1 Get-,notepad,32,2,success,benign
02/12/2025 15:09,host_02,user_06,Standard,notepad.exe,explorer.exe,Get-Service /tmp.py New,notepad,23,2,success,benign
02/12/2025 15:33,host_01,user_10,Standard,notepad.exe,explorer.exe,Get-Process C:\Users\Public.txt Start-Job C:,notepad,44,2,success,benign
02/12/2025 15:34,host_02,user_07,Admin,regsvr32.exe,explorer.exe,Set-Job C:\Windows\Temp.,regsvr32,24,1,success,benign
02/12/2025 17:32,host_03,user_08,Standard,cmd.exe,explorer.exe,Get-Registry /usr/bin.py Start-Process /usr/bin.tx,cmd,50,2,success,benign
02/12/2025 17:42,host_01,user_05,Standard,rundll32.exe,wscript.exe,Get-Process /usr/bin.py Remove-Fi,rundll32,33,2,success,benign
02/12/2025 17:51,host_03,user_01,Standard,mshta.exe,rundll32.exe,Start-Service C:\Users\Public.log Remove-S,mshta,42,2,success,benign
02/12/2025 18:18,host_02,user_06,Standard,notepad.exe,explorer.exe,New-Process /tmp.py Remove-Service C:\Users,notepad,43,2,success,benign
02/12/2025 18:35,host_01,user_07,Standard,python.exe,python.exe,New-Job C:\Windows\Temp.txt Get-Process C:\Users,python,48,2,success,benign
02/12/2025 18:50,host_03,user_02,Standard,notepad.exe,explorer.exe,Get-Service C:\Windows\Temp.ps1 Get-File /tmp.txt New-File C:\Windows\Temp.txt New-Job,notepad,86,4,success,suspicious
02/12/2025 18:56,host_02,user_06,Standard,rundll32.exe,cmd.exe,Stop-Job /usr/bi,rundll32,16,1,success,benign
03/12/2025 08:53,host_02,user_04,Standard,powershell.exe,explorer.exe,Get-File /usr/bin.log Get-File /usr/bin.txt Remove,powershell,50,3,success,benign
03/12/2025 09:19,host_01,user_03,Admin,wscript.exe,cmd.exe,Set-File /tmp.py Set-Registry C:\Windows\Temp.log,wscript,49,2,success,benign
03/12/2025 09:29,host_02,user_03,Standard,notepad.exe,explorer.exe,New-Registry C:\Users\Public.py Stop-Registr,notepad,44,2,success,benign
03/12/2025 09:36,host_03,user_05,Standard,cmd.exe,cmd.exe,Start-File C:\,cmd,14,1,success,benign
03/12/2025 09:36,host_03,user_08,Standard,notepad.exe,explorer.exe,Set-Service C,notepad,13,1,success,benign
