timestamp,host_id,user_id,user_role,process_name,parent_process,command_text,script_type,command_length,num_arguments,execution_result,is_anomaly
10/12/2025 11:44:37,host_12,user_32,Standard,powershell.exe,explorer.exe,Start-Registry,powershell,14,1,success,benign
12/12/2025 22:55:41,host_18,user_21,Standard,python.exe,explorer.exe,Stop-Registry C:\Windows\Temp.py R,python,34,2,success,benign
12/12/2025 00:26:25,host_12,user_05,Standard,powershell.exe,powershell.exe,Remove-Registry C:\Use,powershell,22,1,success,benign
18/12/2025 23:18:44,host_17,user_17,Standard,python.exe,explorer.exe,Get-Service C:\U,python,16,1,success,benign
15/12/2025 02:11:56,host_02,user_05,Standard,cmd.exe,explorer.exe,Stop-Registry /tm,cmd,17,1,success,benign
17/12/2025 18:24:57,host_02,user_23,Admin,cmd.exe,explorer.exe,Get-Process C:\Users\Public.py,cmd,30,1,success,benign
27/12/2025 04:22:08,host_10,user_28,Service,cmd.exe,cmd.exe,Set-Job C:\Windows\Tem,cmd,22,1,success,benign
25/12/2025 17:43:03,host_04,user_23,Standard,rundll32.exe,mshta.exe,New-File C:\Users\Public.,rundll32,25,1,success,benign
26/12/2025 15:10:01,host_09,user_06,Standard,python.exe,explorer.exe,Stop-File /tmp.py Get-Registry /u,python,33,2,success,benign
22/12/2025 05:25:16,host_03,user_17,Standard,cmd.exe,regsvr32.exe,Remove-File C:\Windows\Temp.txt,cmd,31,1,success,benign
29/12/2025 16:02:50,host_12,user_26,Standard,cmd.exe,explorer.exe,Get-Service /tmp.txt New,cmd,24,2,success,benign
14/12/2025 17:41:04,host_12,user_19,Standard,powershell.exe,powershell.exe,Stop-Process C:\Windows\Temp.,powershell,29,1,success,benign
21/12/2025 22:21:19,host_05,user_31,Standard,cmd.exe,explorer.exe,Stop-Service,cmd,12,1,success,benign
19/12/2025 13:01:23,host_14,user_16,Standard,cmd.exe,wscript.exe,Get-File C:\User,cmd,16,1,success,benign
31/12/2025 03:40:38,host_03,user_12,Admin,powershell.exe,cmd.exe,Stop-File /usr/bin.ps1 Start-File C:\Users\P,powershell,44,2,success,benign
20/12/2025 02:18:52,host_15,user_25,Standard,regsvr32.exe,python.exe,Remove-Service /tmp.lo,regsvr32,22,1,success,benign
06/12/2025 22:14:42,host_07,user_01,Standard,python.exe,cmd.exe,New-Process /usr/bin.lo,python,23,1,success,benign
27/12/2025 06:48:16,host_14,user_11,Standard,rundll32.exe,mshta.exe,Stop-Service /usr/bin.txt New-Job C:\Windows,rundll32,44,2,success,benign
26/12/2025 14:10:02,host_05,user_34,Standard,powershell.exe,cmd.exe,New-Job /usr/bin.ps1 Stop-Job /us,powershell,33,2,success,benign
14/12/2025 04:51:17,host_16,user_35,Standard,rundll32.exe,python.exe,Set-Registry /usr/b,rundll32,19,1,success,benign
17/12/2025 19:03:21,host_07,user_21,Admin,cmd.exe,powershell.exe,New-Job /tmp.py,cmd,15,1,success,benign
01/12/2025 20:03:24,host_11,user_10,Standard,python.exe,explorer.exe,Get-Process /usr/bin.py,python,23,1,success,benign
03/12/2025 18:19:36,host_18,user_02,Standard,powershell.exe,explorer.exe,Set-Registry C:\Users\Public.l,powershell,30,1,success,benign
